"","Word","Freq"
"222209","site_occup",47
"218202","sex_ratio",47
"211158","sampl_method",47
"204487","reserv_network",47
"194724","rare_speci",47
"120151","individu_per",47
"100998","genet_divers",47
"83090","eurasian_lynx",47
"78817","encount_rate",47
"72197","dri_forest",47
"51991","core_area",47
"15089","aquat_terrestri",47
"260852","visit_rate",46
"255717","urgent_need",46
"237960","survey_site",46
"220481","sika_deer",46
"211266","sampl_site",46
"207687","rich_abund",46
"185342","prey_avail",46
"180103","popul_trend",46
"164287","odocoileus_virginianus",46
"144560","marin_ecosystem",46
"131383","larg_number",46
"131166","larg_area",46
"101302","geograph_rang",46
"92490","first_time",46
"91481","field_survey",46
"78038","elus_speci",46
"32893","captur_recaptur",46
"28266","bodi_mass",46
"28115","boar_sus",46
"6006","adult_femal",46
"265403","wildlif_habitat",45
"237577","survey_effort",45
"144563","marin_environ",45
"143029","mammalian_carnivor",45
"137919","log_forest",45
"135816","linear_model",45
"111562","human_settlement",45
"105900","habitat_degrad",45
"66287","diel_activ",45
"50691","continu_forest",45
"32175","cani_lupus",45
"4010","action_plan",45
"242351","terrestri_biodivers",44
"227307","speci_group",44
"226594","speci_abund",44
"219465","show_signific",44
"190427","provid_inform",44
"164113","ocelot_leopardus",44
"151074","model_predict",44
"121695","inform_system",44
"121339","inform_conserv",44
"115286","imperfect_detect",44
"113411","identifi_area",44
"101280","geograph_inform",44
"97285","fragment_landscap",44
"95829","forest_site",44
"88650","factor_affect",44
"70250","diurnal_activ",44
"69294","distribut_abund",44
"33786","carnivor_popul",44
"227774","speci_occup",43
"190430","provid_insight",43
"176033","pitfal_trap",43
"133693","leopard_popul",43
"124489","interspecif_interact",43
"108791","high_densiti",43
"98225","freshwat_ecosystem",43
"95280","forest_edg",43
"76119","effect_protect",43
"265551","wildlif_sanctuari",42
"249313","trap_detect",42
"227821","speci_particular",42
"227435","speci_interact",42
"226606","speci_across",42
"190416","provid_import",42
"108756","high_conserv",42
"106549","habitat_speci",42
"95752","forest_remnant",42
"87931","extinct_risk",42
"82726","estim_tiger",42
"65450","develop_conserv",42
"65289","determin_whether",42
"54283","coyot_cani",42
"40375","coastal_area",42
"3681","across_rang",42
"249571","trap_monitor",41
"245337","tiger_leopard",41
"240809","taxonom_group",41
"231814","stone_marten",41
"227027","speci_differ",41
"226017","space_time",41
"208255","riparian_zone",41
"182625","predat_prey",41
"176521","plan_conserv",41
"161173","number_individu",41
"160034","north_america",41
"156075","natur_forest",41
"134853","life_histori",41
"81992","estim_anim",41
"69750","distribut_rang",41
"40478","coastal_zone",41
"246935","top_predat",40
"225458","south_america",40
"157259","negat_affect",40
"129954","land_chang",40
"113823","identifi_speci",40
"90613","feli_catus",40
"48102","conserv_goal",40
"42362","common_speci",40
"240109","tapir_tapirus",39
"238419","sustain_develop",39
"238248","surviv_rate",39
"226385","spatial_plan",39
"222877","six_speci",39
"209571","roe_deer",39
"193250","rain_forest",39
"185736","primari_forest",39
"172722","peninsular_malaysia",39
"155907","nativ_mammal",39
"152082","monitor_method",39
"151100","model_provid",39
"101266","geograph_distribut",39
"82469","estim_occup",39
"75363","edg_effect",39
"61940","densiti_individu",39
"48480","conserv_speci",39
"38869","citizen_scienc",39
"7753","aichi_target",39
"265015","wild_dog",38
"262188","water_qualiti",38
"227776","speci_occur",38
"226378","spatial_overlap",38
"205135","resourc_avail",38
"181393","potenti_prey",38
"177207","plant_communiti",38
"148224","method_provid",38
"147930","method_detect",38
"143544","manag_practic",38
"137080","local_communiti",38
"133543","leopard_densiti",38
"98209","freshwat_biodivers",38
"97024","fox_squirrel",38
"93042","five_speci",38
"52892","costa_rica",38
"48330","conserv_polici",38
"48243","conserv_measur",38
"29296","breed_season",38
"26297","biodivers_ecosystem",38
"4459","activ_level",38
"264606","wide_distribut",37
"259152","veget_cover",37
"241816","tempor_spatial",37
"238880","synthesi_applic",37
"184358","present_first",37
"180050","popul_structur",37
"152313","monitor_wildlif",37
"147008","medium_larges",37
"133661","leopard_neof",37
"127153","jaguar_puma",37
"116011","import_habitat",37
"104616","group_size",37
"104050","grizzli_bear",37
"66507","differ_among",37
"42929","communiti_structur",37
"29667","brocket_deer",37
"16097","area_includ",37
"239709","take_account",36
"227901","speci_presenc",36
"214801","secr_model",36
"140911","main_conclus",36
"138362","longterm_monitor",36
"137121","local_extinct",36
"109879","highlight_need",36
"106460","habitat_requir",36
"105820","habitat_characterist",36
"103318","gray_fox",36
"80519","environment_factor",36
"62784","deploy_trap",36
"58694","de_la",36
"56222","current_protect",36
"32236","canopi_cover",36
"265543","wildlif_research",35
"227840","speci_persist",35
"227408","speci_individu",35
"208221","riparian_forest",35
"194877","rat_rattus",35
"189939","protect_speci",35
"187638","procyon_lotor",35
"186846","probabl_occup",35
"184118","presenc_speci",35
"180040","popul_status",35
"155965","nativ_veget",35
"150568","model_approach",35
"111659","humandomin_landscap",35
"111532","human_presenc",35
"80477","environment_chang",35
"76174","effect_sampl",35
"74009","ecolog_conserv",35
"51510","convent_biolog",35
"40935","collar_peccari",35
"11038","amphibian_reptil",35
"4239","activ_day",35
"256912","use_tool",34
"247330","total_speci",34
"244368","three_differ",34
"238011","survey_techniqu",34
"228224","speci_suggest",34
"220218","signific_effect",34
"208923","road_densiti",34
"200567","relat_high",34
"194202","rang_speci",34
"192932","raccoon_procyon",34
"179780","popul_monitor",34
"175766","pig_sus",34
"175101","photograph_captur",34
"168604","palm_plantat",34
"168569","palm_civet",34
"157262","negat_associ",34
"151180","model_select",34
"141063","main_prey",34
"121675","inform_speci",34
"112973","iberian_lynx",34
"100009","gap_analysi",34
"94634","food_web",34
"75878","effect_habitat",34
"57485","data_obtain",34
"16818","area_system",34
"16092","area_import",34
"7589","agricultur_land",34
"264981","wild_anim",33
"254204","ungul_speci",33
"253428","understand_ecolog",33
"249295","trap_data",33
"242864","test_effect",33
"237457","survey_area",33
"226687","speci_area",33
"220279","signific_increas",33
"186319","prioriti_conserv",33
"182648","predat_rate",33
"179287","popul_abund",33
"157296","negat_influenc",33
"152139","monitor_popul",33
"148373","method_trap",33
"147051","mediums_mammal",33
"144377","marbl_cat",33
"140045","lynx_rufus",33
"139614","lowland_forest",33
"130458","landscap_connect",33
"99031","function_group",33
"57771","data_use",33
"55526","cryptic_speci",33
"47887","conserv_biolog",33
"31686","cameratrap_day",33
"29734","brown_hyaena",33
"29125","brazilian_atlant",33
"4571","activ_peak",33
"259036","vascular_plant",32
"255552","urban_landscap",32
"245986","time_period",32
"215859","select_log",32
"207777","rich_divers",32
"207745","rich_composit",32
"190345","provid_evid",32
"182719","predat_speci",32
"176887","plan_process",32
"172936","per_day",32
"170442","particular_import",32
"169096","paramet_estim",32
"168919","paper_present",32
"167081","outsid_protect",32
"159916","nontarget_speci",32
"154552","multipl_speci",32
"151191","model_show",32
"150526","model_account",32
"142337","mammal_assemblag",32
"138143","long_term",32
"130232","land_use",32
"105857","habitat_conserv",32
"105855","habitat_connect",32
"105744","habitat_area",32
"102548","golden_cat",32
"95843","forest_speci",32
"25970","bias_toward",32
"3726","across_speci",32
"259339","veget_structur",31
"256639","use_occup",31
"249555","trap_method",31
"249308","trap_deploy",31
"247277","total_number",31
"237540","survey_data",31
"229306","spot_skunk",31
"220862","similar_speci",31
"211183","sampl_occas",31
"202008","remot_camera",31
"197678","record_trap",31
"196544","recent_year",31
"176274","place_trap",31
"175261","photograph_record",31
"168876","paper_describ",31
"156097","natur_histori",31
"148141","method_monitor",31
"144551","marin_conserv",31
"142476","mammal_divers",31
"137034","local_abund",31
"131461","larg_spatial",31
"131412","larg_predat",31
"130432","landscap_chang",31
"113746","identifi_prioriti",31
"62286","densiti_use",31
"57707","data_suggest",31
"34711","cat_prionailurus",31
"22615","bait_station",31
"18744","assess_popul",31
"18460","assess_conserv",31
"13171","anthropogen_impact",31
"12273","anim_densiti",31
"3596","across_landscap",31
"2699","account_imperfect",31
"262024","water_bodi",30
"255782","ursus_arcto",30
"249804","trap_set",30
"247136","total_area",30
"242374","terrestri_conserv",30
"242356","terrestri_bird",30
"238798","sympatr_speci",30
"237243","surround_area",30
"236431","sunda_cloud",30
"236063","suitabl_model",30
"228313","speci_trap",30
"228055","speci_risk",30
"227374","speci_identifi",30
"226769","speci_bird",30
"226609","speci_activ",30
"200583","relat_import",30
"186534","privat_land",30
"185563","prey_popul",30
"182085","precis_estim",30
"181386","potenti_predat",30
"180580","posit_relat",30
"180498","posit_effect",30
"177174","plant_anim",30
"163155","occup_rate",30
"159679","noninvas_genet",30
"142817","mammal_record",30
"128042","kernel_densiti",30
"106663","habitat_variabl",30
"98216","freshwat_conserv",30
"96706","four_speci",30
"85752","exist_protect",30
"82193","estim_effect",30
"62214","densiti_speci",30
"59945","deer_cervus",30
"57684","data_speci",30
"33032","capturerecaptur_secr",30
"26454","biodivers_monitor",30
"16801","area_suggest",30
"16435","area_pas",30
"16048","area_higher",30
"15029","aquat_ecosystem",30
"4574","activ_period",30
"252728","umbrella_speci",29
"241810","tempor_segreg",29
"228214","speci_studi",29
"208621","river_basin",29
"204325","reserv_design",29
"193992","rang_map",29
"183164","predict_speci",29
"181264","potenti_impact",29
"172310","peak_activ",29
"160181","northern_australia",29
"139642","lowland_tapir",29
"129935","land_area",29
"123847","interact_speci",29
"117997","increas_detect",29
"115969","import_factor",29
"115802","import_area",29
"105934","habitat_disturb",29
"83891","even_though",29
"74193","ecolog_nich",29
"71294","dog_cani",29
"69297","distribut_across",29
"67760","direct_indirect",29
"67122","differ_type",29
"64826","detect_trap",29
"57344","data_indic",29
"48418","conserv_restor",29
"39639","climat_condit",29
"24000","beard_pig",29
"13162","anthropogen_factor",29
"4741","activ_time",29
"1782","abund_index",29
"1661","abund_distribut",29
"265050","wild_mammal",28
"264417","whitelip_peccari",28
"260099","viabl_popul",28
"253578","understand_speci",28
"249722","trap_provid",28
"244013","threat_speci",28
"241418","telemetri_data",28
"237834","survey_period",28
"237550","survey_design",28
"235808","suggest_speci",28
"228149","speci_small",28
"227526","speci_like",28
"227492","speci_larg",28
"218084","sever_speci",28
"214576","season_variat",28
"200634","relat_low",28
"199803","region_scale",28
"186422","prioriti_site",28
"181171","potenti_distribut",28
"165120","open_area",28
"156025","natur_conserv",28
"150566","model_appli",28
"131479","larg_terrestri",28
"127141","jaguar_popul",28
"121520","inform_manag",28
"120984","influenc_habitat",28
"112009","hunt_pressur",28
"107215","hare_lepus",28
"103940","grid_cell",28
"102084","global_conserv",28
"92646","fish_speci",28
"90712","felid_speci",28
"90509","feed_site",28
"84704","examin_effect",28
"66852","differ_method",28
"56072","current_distribut",28
"48281","conserv_object",28
"48161","conserv_initi",28
"32172","cani_familiari",28
"24116","becom_increas",28
"18746","assess_potenti",28
"16614","area_requir",28
"16232","area_low",28
"13135","anthropogen_activ",28
"1785","abund_indic",28
"262015","water_avail",27
"261553","vulner_speci",27
"256559","use_method",27
"250361","tree_cover",27
"242605","terrestri_system",27
"242424","terrestri_freshwat",27
"238050","survey_use",27
"233876","studi_speci",27
"231278","status_speci",27
"228131","speci_similar",27
"227937","speci_protect",27
"226704","speci_assemblag",27
"199439","region_conserv",27
"186121","prionailurus_bengalensi",27
"177034","plan_unit",27
"156282","natura_network",27
"156130","natur_mark",27
"155866","nativ_carnivor",27
"150887","model_includ",27
"149672","miner_lick",27
"144618","marin_reserv",27
"142002","malaysian_borneo",27
"141628","major_threat",27
"138050","logist_regress",27
"133594","leopard_habitat",27
"132049","last_decad",27
"130849","landscap_structur",27
"125543","investig_effect",27
"101086","genet_structur",27
"92475","first_step",27
"91160","feral_pig",27
"82158","estim_detect",27
"69002","distanc_nearest",27
"64559","detect_method",27
"57563","data_provid",27
"55932","cuniculus_paca",27
"54429","crabeat_fox",27
"48269","conserv_natur",27
"48143","conserv_import",27
"37199","chang_speci",27
"36770","chang_climat",27
"29303","breed_success",27
"28233","bodi_condit",27
"22338","badger_mele",27
"7175","age_sex",27
"4914","ad_hoc",27
"4536","activ_night",27
"265106","wild_ungul",26
"249344","trap_effect",26
"247318","total_sampl",26
"242336","terrestri_area",26
"228138","speci_site",26
"228022","speci_repres",26
"228003","speci_region",26
"227342","speci_high",26
"226923","speci_consid",26
"226891","speci_compar",26
"225574","southeastern_brazil",26
"223901","small_popul",26
"213919","sea_turtl",26
"203051","repres_speci",26
"186945","probabl_speci",26
"180531","posit_influenc",26
"180032","popul_speci",26
"176704","plan_implement",26
"173092","per_year",26
"171798","pattern_habitat",26
"171358","patch_size",26
"168173","pa_network",26
"167425","overlap_activ",26
"164877","onca_puma",26
"161284","number_record",26
"156520","near_threaten",26
"151220","model_speci",26
"150820","model_framework",26
"139070","low_level",26
"131730","larges_mammal",26
"130465","landscap_context",26
"127057","jaguar_densiti",26
"117455","includ_speci",26
"115937","import_ecolog",26
"109689","highest_number",26
"106018","habitat_featur",26
"102550","golden_jackal",26
"99651","futur_research",26
"80540","environment_impact",26
"76277","effect_trap",26
"75756","effect_detect",26
"74333","ecolog_studi",26
"74276","ecolog_research",26
"73124","e_g",26
"72627","dung_beetl",26
"69091","distanc_water",26
"64845","detect_use",26
"62263","densiti_tiger",26
"59114","decidu_forest",26
"43491","compar_speci",26
"33201","carbon_stock",26
"33030","capturerecaptur_scr",26
"33020","capturerecaptur_method",26
"28178","bobcat_lynx",26
"18611","assess_impact",26
"16539","area_provid",26
"15744","area_cover",26
"14592","approach_provid",26
"14412","approach_estim",26
"266158","wolf_cani",25
"265458","wildlif_monitor",25
"255506","urban_develop",25
"244887","throughout_year",25
"239083","system_gis",25
"238032","survey_trap",25
"236751","support_hypothesi",25
"227556","speci_low",25
"227532","speci_list",25
"227180","speci_extinct",25
"225830","sp_nov",25
"220311","signific_lower",25
"220283","signific_influenc",25
"204054","research_manag",25
"203293","reproduct_success",25
"200812","relat_speci",25
"193597","random_encount",25
"176974","plan_speci",25
"172451","pecari_tajacu",25
"165154","open_habitat",25
"162412","observ_trap",25
"157935","nest_site",25
"156054","natur_ecosystem",25
"150891","model_indic",25
"150283","mix_model",25
"147808","method_assess",25
"145840","maximum_distanc",25
"135814","linear_mix",25
"132427","law_enforc",25
"124477","interspecif_competit",25
"108788","high_degre",25
"105703","habitat_activ",25
"97771","freerang_dog",25
"95523","forest_mammal",25
"60163","deer_wild",25
"59190","decis_make",25
"57439","data_model",25
"40434","coastal_plain",25
"38871","citizen_scientist",25
"26196","biodivers_assess",25
"18921","assess_whether",25
"16934","area_use",25
"16254","area_manag",25
"7835","aim_determin",25
"265003","wild_cat",24
"263575","wet_dri",24
"258023","vari_across",24
"255781","ursus_americanus",24
"251215","tropic_rainforest",24
"249679","trap_place",24
"248704","transect_survey",24
"245738","time_day",24
"230600","state_park",24
"228283","speci_threaten",24
"227877","speci_popul",24
"222387","site_select",24
"222010","site_high",24
"221674","site_across",24
"200801","relat_small",24
"197457","record_obtain",24
"167897","p_>",24
"163926","occurr_speci",24
"159689","noninvas_method",24
"158336","network_protect",24
"154660","multispeci_occup",24
"153555","mountain_rang",24
"151017","model_occup",24
"150574","model_assess",24
"147242","mele_mele",24
"144948","markresight_model",24
"138995","low_detect",24
"138319","longterm_conserv",24
"134003","less_like",24
"115149","impact_speci",24
"105759","habitat_avail",24
"99615","futur_monitor",24
"94512","food_avail",24
"93158","flagship_speci",24
"74950","ecosystem_manag",24
"74826","ecosystem_engin",24
"68996","distanc_move",24
"67041","differ_signific",24
"65247","determin_speci",24
"50735","continu_monitor",24
"41695","combin_data",24
"30450","bush_dog",24
"21670","avoid_area",24
"18903","assess_use",24
"16026","area_habitat",24
"15891","area_estim",24
"12016","andean_bear",24
"7869","aim_identifi",24
"256208","use_combin",23
"249471","trap_increas",23
"247862","track_survey",23
"245859","time_higher",23
"245407","tiger_prey",23
"243815","threat_biodivers",23
"241831","tempor_variat",23
"241497","temper_forest",23
"232856","strong_influenc",23
"231970","strateg_plan",23
"228027","speci_requir",23
"227373","speci_identif",23
"226366","spatial_model",23
"215163","seed_germin",23
"210907","sambar_deer",23
"210614","sabah_malaysian",23
"209010","road_mortal",23
"202607","report_first",23
"200040","regress_model",23
"198089","red_squirrel",23
"196381","recent_decad",23
"190548","provid_reliabl",23
"189711","protect_forest",23
"183066","predict_model",23
"179668","popul_increas",23
"170989","passiv_infrar",23
"163532","occur_low",23
"157519","neof_nebulosa",23
"151239","model_suggest",23
"150773","model_evalu",23
"148347","method_survey",23
"145843","maximum_entropi",23
"143733","manag_unit",23
"142845","mammal_rich",23
"140224","m_m",23
"136293","list_threaten",23
"131444","larg_scale",23
"131310","larg_herbivor",23
"130551","landscap_featur",23
"128691","knowledg_gap",23
"116342","import_understand",23
"113602","identifi_import",23
"109890","highlight_potenti",23
"106810","hair_trap",23
"106316","habitat_occup",23
"105921","habitat_differ",23
"105817","habitat_chang",23
"102079","global_climat",23
"95277","forest_ecosystem",23
"91910","find_highlight",23
"80554","environment_manag",23
"78796","encount_model",23
"78293","emphas_import",23
"74140","ecolog_inform",23
"69526","distribut_habitat",23
"66491","differ_activ",23
"64473","detect_individu",23
"60753","degre_c",23
"59294","decisionmak_process",23
"58371","day_night",23
"57212","data_estim",23
"56953","dasypus_novemcinctus",23
"51439","control_site",23
"48169","conserv_interest",23
"32773","captur_histori",23
"31736","cameratrap_imag",23
"23919","bear_popul",23
"23137","baselin_data",23
"17491","around_world",23
"16100","area_increas",23
"16078","area_identifi",23
"15808","area_differ",23
"13196","anthropogen_pressur",23
"11056","amphibian_speci",23
"7802","aim_assess",23
"7111","age_class",23
"6697","affect_speci",23
"1663","abund_divers",23
"265068","wild_popul",22
"258353","variabl_influenc",22
"255760","urocyon_cinereoargenteus",22
"251098","trophic_level",22
"249928","trap_use",22
"249740","trap_rate",22
"249347","trap_effort",22
"241783","tempor_nich",22
"228276","speci_terrestri",22
"227402","speci_increas",22
"227239","speci_forest",22
"226705","speci_assess",22
"225523","south_wale",22
"224436","social_group",22
"223855","small_isol",22
"218137","sex_age",22
"214261","season_differ",22
"211514","sao_paulo",22
"211321","sampl_use",22
"203392","reptil_speci",22
"203316","reptil_amphibian",22
"202067","remot_trap",22
"198057","red_brocket",22
"195350","rate_speci",22
"194620","rare_elus",22
"190402","provid_habitat",22
"190243","provid_baselin",22
"189768","protect_land",22
"185321","prey_abund",22
"180581","posit_relationship",22
"179848","popul_paramet",22
"168663","pampa_cat",22
"159226","nmixtur_model",22
"158441","neural_network",22
"153518","mountain_lion",22
"148392","method_use",22
"143537","manag_polici",22
"143330","manag_forest",22
"143280","manag_effort",22
"135655","limit_resourc",22
"134401","level_human",22
"130899","landscap_variabl",22
"125148","invas_mammal",22
"124729","interview_local",22
"123572","interact_among",22
"116285","import_speci",22
"114819","impact_climat",22
"110699","honey_badger",22
"110655","homerang_size",22
"109035","high_rate",22
"106262","habitat_model",22
"106101","habitat_high",22
"103855","green_infrastructur",22
"102227","global_scale",22
"101592","giant_anteat",22
"99960","game_reserv",22
"99673","futur_studi",22
"99515","futur_conserv",22
"97237","fragment_forest",22
"95672","forest_plantat",22
"95506","forest_loss",22
"93384","fli_squirrel",22
"82587","estim_relat",22
"82541","estim_probabl",22
"82334","estim_individu",22
"76877","effort_requir",22
"76218","effect_speci",22
"75893","effect_human",22
"64654","detect_presenc",22
"64593","detect_nondetect",22
"64540","detect_mammal",22
"61970","densiti_larg",22
"60042","deer_mazama",22
"57416","data_manag",22
"57038","data_avail",22
"55943","cuon_alpinus",22
"53795","cover_chang",22
"53105","count_data",22
"47861","conserv_assess",22
"46929","confirm_presenc",22
"36974","chang_land",22
"32997","capturerecaptur_analysi",22
"31770","cameratrap_monitor",22
"29297","breed_site",22
"28508","boreal_forest",22
"18782","assess_relat",22
"18591","assess_habitat",22
"5040","adapt_manag",22
"260218","video_record",21
"256171","use_capturerecaptur",21
"249824","trap_site",21
"249220","trap_captur",21
"245209","tiger_abund",21
"244575","three_site",21
"242405","terrestri_environ",21
"241791","tempor_pattern",21
"240861","tayassu_pecari",21
"238756","sympatr_carnivor",21
"234854","success_conserv",21
"233937","studi_use",21
"232891","strong_posit",21
"232749","stripe_hyena",21
"229706","squirrel_sciurus",21
"228037","speci_respons",21
"228036","speci_respond",21
"227771","speci_observ",21
"227581","speci_manag",21
"227082","speci_ecolog",21
"226981","speci_data",21
"226707","speci_associ",21
"221878","site_differ",21
"221541","singl_speci",21
"214163","season_activ",21
"207793","rich_estim",21
"204629","reserv_system",21
"202901","repres_first",21
"202258","remov_seed",21
"202244","remov_rate",21
"196521","recent_studi",21
"189819","protect_natur",21
"182954","predict_distribut",21
"177483","plantat_forest",21
"176451","plan_approach",21
"175897","pine_forest",21
"171717","pattern_differ",21
"156932","need_consid",21
"153928","movement_pattern",21
"153049","mortal_rate",21
"152154","monitor_programm",21
